MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
1202431,2016,Gold Star Mine,Indiana,Greene,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,Erc Mining Indiana Corp,"15127 W 700 N, Jasonville, IN 47438",,Illinois Basin,14871,23,39089,9.607168286688683
1202339,2016,Freelandville East,Indiana,Knox,Temporarily closed,Surface,Independent Producer Operator,Mine only,Triad Mining Llc,"14521 E State Road 58, Edwardsport, IN 47528",,Illinois Basin,2136,2,660,7.666690200080086
1202394,2016,Oaktown Fuels Mine No 1,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine only,"Sunrise Coal, Llc","12661 N. Agricare Road, Oaktown, IN 47561",,Illinois Basin,3827739,367,843759,15.157784847412314
1202418,2016,Oaktown Fuels Mine No 2,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine only,"Sunrise Coal, Llc","12661 N. Agricare Road, Oaktown, IN 47561",,Illinois Basin,1946919,240,553081,14.4817586810236
1202423,2016,Freelandville West Underground,Indiana,Knox,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Triad Underground Mining Llc,"1216 East Cr 900 South, Oakland City, IN 47660",,Illinois Basin,123078,38,42091,11.720573579710193
1202410,2016,Log Creek Surface,Indiana,Pike,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,Triad Mining Llc,"1216 East Cr 900 South, Oakland City, IN 47660",,Illinois Basin,416067,38,77847,12.93860158396731
1202446,2016,Cardinal Mine,Indiana,Pike,Active,Surface,Independent Producer Operator,Mine only,United Minerals Company Llc,"566 Dickeyville Road, Lynville, IN 47619",,Illinois Basin,186539,7,27157,12.136395611485955
1202450,2016,Log Creek Underground,Indiana,Pike,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Triad Mining Llc,"1216 E Co Rd 900 S, Oakland City, IN 47660",,Illinois Basin,249531,34,73923,12.4273384349525
1202349,2016,Carlisle Mine,Indiana,Sullivan,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Sunrise Coal Llc,"1183 E Canvasback Dr, Terre Haute, IN 47802",,Illinois Basin,3957,27,62170,8.283241441385425
1202422,2016,Bear Run Mine,Indiana,Sullivan,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Bear Run Mining Llc,"7255 East County Road 600s, Carlisle, IN 47838",,Illinois Basin,7283179,558,1238868,15.801078000681903
1202407,2016,West 61,Indiana,Warrick,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,United Minerals Company Llc,"566 Dickeyville Road, Lynnville, IN 47619",,Illinois Basin,31694,16,50909,10.363882667502754
